Frame Rate:,60.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.350,0.0,0.0,0.0,0.0
22,00:00:00.367,0.0,0.0,0.0,0.0
23,00:00:00.383,0.0,0.0,0.0,0.0
24,00:00:00.400,0.0,0.0,0.0,0.0
25,00:00:00.417,0.0,0.0,0.0,0.0
26,00:00:00.433,0.0,0.0,0.0,0.0
27,00:00:00.450,0.0,0.0,0.0,0.0
28,00:00:00.467,0.0,0.0,0.0,0.0
29,00:00:00.483,0.0,0.0,0.0,0.0
30,00:00:00.500,0.0,0.0,0.0,0.0
31,00:00:00.517,0.0,0.0,0.0,0.0
32,00:00:00.533,0.0,0.0,0.0,0.0
33,00:00:00.550,0.0,0.0,0.0,0.0
34,00:00:00.567,0.0,0.0,0.0,0.0
35,00:00:00.583,0.0,0.0,0.0,0.0
36,00:00:00.600,0.0,0.0,0.0,0.0
37,00:00:00.617,0.0,0.0,0.0,0.0
38,00:00:00.633,0.0,0.0,0.0,0.0
39,00:00:00.650,0.0,0.0,0.0,0.0
40,00:00:00.667,0.0,0.0,0.0,0.0
41,00:00:00.683,0.0,0.0,0.0,0.0
42,00:00:00.700,0.0,0.0,0.0,0.0
43,00:00:00.717,0.0,0.0,0.0,0.0
44,00:00:00.733,0.0,0.0,0.0,0.0
45,00:00:00.750,0.0,0.0,0.0,0.0
46,00:00:00.767,0.0,0.0,0.0,0.0
47,00:00:00.783,0.0,0.0,0.0,0.0
48,00:00:00.800,0.0,0.0,0.0,0.0
49,00:00:00.817,0.0,0.0,0.0,0.0
50,00:00:00.833,0.0,0.0,0.0,0.0
51,00:00:00.850,0.0,0.0,0.0,0.0
52,00:00:00.867,0.0,0.0,0.0,0.0
53,00:00:00.883,0.0,0.0,0.0,0.0
54,00:00:00.900,0.0,0.0,0.0,0.0
55,00:00:00.917,0.0,0.0,0.0,0.0
56,00:00:00.933,0.0,0.0,0.0,0.0
57,00:00:00.950,0.0,0.0,0.0,0.0
58,00:00:00.967,0.0,0.0,0.0,0.0
59,00:00:00.983,0.0,0.0,0.0,0.0
60,00:00:01.000,0.0,0.0,0.0,0.0
61,00:00:01.017,0.0,0.0,0.0,0.0
62,00:00:01.033,0.0,0.0,0.0,0.0
63,00:00:01.050,0.0,0.0,0.0,0.0
64,00:00:01.067,0.0,0.0,0.0,0.0
65,00:00:01.083,0.0,0.0,0.0,0.0
66,00:00:01.100,0.0,0.0,0.0,0.0
67,00:00:01.117,0.0,0.0,0.0,0.0
68,00:00:01.133,0.0,0.0,0.0,0.0
69,00:00:01.150,0.0,0.0,0.0,0.0
70,00:00:01.167,0.0,0.0,0.0,0.0
71,00:00:01.183,0.0,0.0,0.0,0.0
72,00:00:01.200,0.0,0.0,0.0,0.0
73,00:00:01.217,0.0,0.0,0.0,0.0
74,00:00:01.233,0.0,0.0,0.0,0.0
75,00:00:01.250,0.0,0.0,0.0,0.0
76,00:00:01.267,0.0,0.0,0.0,0.0
77,00:00:01.283,0.0,0.0,0.0,0.0
78,00:00:01.300,0.0,0.0,0.0,0.0
79,00:00:01.317,0.0,0.0,0.0,0.0
80,00:00:01.333,0.0,0.0,0.0,0.0
81,00:00:01.350,0.0,0.0,0.0,0.0
82,00:00:01.367,0.0,0.0,0.0,0.0
83,00:00:01.383,0.0,0.0,0.0,0.0
84,00:00:01.400,0.0,0.0,0.0,0.0
85,00:00:01.417,0.0,0.0,0.0,0.0
86,00:00:01.433,0.0,0.0,0.0,0.0
87,00:00:01.450,0.0,0.0,0.0,0.0
88,00:00:01.467,0.0,0.0,0.0,0.0
89,00:00:01.483,0.0,0.0,0.0,0.0
90,00:00:01.500,0.0,0.0,0.0,0.0
91,00:00:01.517,0.0,0.0,0.0,0.0
92,00:00:01.533,0.0,0.0,0.0,0.0
